id,address,version,token0,token1,fee,block_number,timestamp
5487,0xe18a124122b2d344d99d82b15a5d9154b2863057,2,0x4200000000000000000000000000000000000006,0x766cb61830acb122bd99f0c6f9d51739e564b823,300,11910753,1710610853
5488,0x0e2acf8166743cd87c70db2e505a77c897f6b1da,2,0x4200000000000000000000000000000000000006,0x9d41ebda0a0acff8de6edefa5fc60de009481ff1,300,11910763,1710610873
5489,0x5b9f55f4c638f9f8791c36be58addf9b2e7e6a69,2,0x403a1a186e419e89653f62d81cb35c9d9ba1e594,0x4200000000000000000000000000000000000006,300,11910787,1710610921
5490,0xfc266746ac939d2a4e7908b11eb10e347de10229,2,0x3fff924763dbf134d9138449b2eafbf996934823,0x4200000000000000000000000000000000000006,300,11910788,1710610923
5491,0x72d76406f9fc0f2a18c1b54813159bcf642336b9,2,0x3a6e4af4f6ce446ca6a81a77cc39dc9a066ee870,0x4200000000000000000000000000000000000006,300,11910852,1710611051
5492,0xa3faf67810833de3e8bb0602b3e36979a88e6158,2,0x4200000000000000000000000000000000000006,0x80c2ae763b883e2e96472fc4c68b243cec3e0cdb,300,11910868,1710611083
5493,0x820bc47033c8b85f09deb34083ef628f007740e4,2,0x38a9544319b0d3874983bf7e351519c069e757b6,0x4200000000000000000000000000000000000006,300,11910898,1710611143
5494,0x1483cd47c1b262e61a62e37b29c4acdb536628f2,2,0x2f0094356c3cc2731ad2369a3be91f8b97cfaad9,0x4200000000000000000000000000000000000006,300,11910913,1710611173
5495,0x1575bc6cda403cbd72449542b0978e40682e791a,2,0x4200000000000000000000000000000000000006,0xe66ec51e7e62d092de61f1fd433d02de04bd6c49,300,11910998,1710611343
5496,0xc170410f9b75bb46fd2f9a68c43b3248ed2a5823,2,0x4200000000000000000000000000000000000006,0x51cb26782f88049f8744455c2497e1e4e5be246a,300,11911012,1710611371
5497,0x454553eb228139c627d4cf2b4d40ae76c8a9b910,2,0x4200000000000000000000000000000000000006,0x44e940a7240f345f44d9c2f07c35f72ca3e080d2,300,11911051,1710611449
5498,0x70d1b9168dde8b0cc1eb2863d1f74ba5bf8e7dd3,2,0x4200000000000000000000000000000000000006,0xc66eb8e35c3d8e5c620a7c4fb8ac733113319a9b,300,11911061,1710611469
5499,0xec2ea5f7d83733de439f46bab222ae4c1e99ec90,2,0x4200000000000000000000000000000000000006,0xc99a0ef70e1f5fbae29507799c0273bad4f2c046,300,11911153,1710611653
5500,0x4c480816611101aafd8b1eeffe88576e3ef611b0,2,0x25574b52eaa1dd0e6d0dce0c41ede7e7226505b8,0x4200000000000000000000000000000000000006,300,11911175,1710611697
5501,0x2a6fd0b0e6ae0e03ab8763a51a383b1660b85574,2,0x1718a88479b45312365901d5539bc4b54f41b0d4,0x4200000000000000000000000000000000000006,300,11911186,1710611719
5502,0x2971c8c7e2f94e320859b6176b296410233a81f5,2,0x4200000000000000000000000000000000000006,0x6d90c7e76b1169072886d9c6117e2656177f7b9d,300,11911189,1710611725
